cve_ent,cve_mun,nom_mun,viv_tot,viv_rem,viv_emig,viv_circ,viv_ret,iim_dp2,gim_dp2,pos_nal
30,30123,Pánuco,29295,5.417306708,0.76804916,0.21900558,0.12971497,64.30112,Bajo,1520.0
30,30124,Papantla,46368,3.421790723,0.41623533,0.20107673,0.60386473,64.48411,Muy bajo,1675.0
30,30125,Paso del Macho,9177,2.495368857,1.07878392,0.22883295,0.70829247,64.41058,Muy bajo,1614.0
30,30126,Paso de Ovejas,10698,3.907272387,0.90671153,0.06549401,0.18695083,64.63716,Muy bajo,1784.0
30,30127,La Perla,6345,3.768527278,2.23798266,0.18939394,0.7409743,64.10599,Bajo,1385.0
30,30128,Perote,19089,1.034066453,0.18859029,0.04195731,0.17811305,65.12589,Muy bajo,2269.0
30,30129,Platón Sánchez,5207,1.249279262,0.15363933,0.05774783,0.1152295,65.1038,Muy bajo,2241.0
30,30130,Playa Vicente,11406,10.33666491,2.71786779,0.28988053,2.12169034,62.7516,Medio,760.0
30,30131,Poza Rica de Hidalgo,57125,1.543258535,0.2678337,0.12092534,0.13306254,64.96209,Muy bajo,2105.0
30,30132,Las Vigas de Ramírez,5117,0.684261975,0.33222591,0.13685239,0.11730205,65.03328,Muy bajo,2179.0
30,30133,Pueblo Viejo,17084,3.002809646,0.62631702,0.05867856,0.31608523,64.76309,Muy bajo,1892.0
30,30134,Puente Nacional,7320,3.920765027,1.40710383,0.41039672,0.38251366,64.0409,Bajo,1340.0
30,30135,Rafael Delgado,5970,0.971524288,0.25125628,0.11744966,0.06700168,65.05369,Muy bajo,2193.0
30,30136,Rafael Lucio,2105,0.997624703,0.23752969,0.2851711,0.0,64.85093,Muy bajo,1982.0
30,30137,Los Reyes,1640,1.097560976,0.12195122,0.0,0.24390244,65.1671,Muy bajo,2307.0
30,30138,Río Blanco,12439,2.789613313,0.24117694,0.0,0.06432937,65.00132,Muy bajo,2153.0
30,30139,Saltabarranca,2072,2.461389961,0.0,0.0,0.14492754,65.05857,Muy bajo,2202.0
30,30140,San Andrés Tenejapan,740,0.405405405,0.0,0.13513514,0.0,65.1577,Muy bajo,2295.0
30,30141,San Andrés Tuxtla,44278,3.192715277,0.68431275,0.02264288,1.00749977,64.58701,Muy bajo,1751.0
30,30142,San Juan Evangelista,9748,5.92942142,1.02585146,0.16459212,0.52318424,64.16006,Bajo,1428.0
30,30143,Santiago Tuxtla,17891,3.772846683,0.65396009,0.05032713,0.26829132,64.69384,Muy bajo,1833.0
30,30144,Sayula de Alemán,8795,3.503981797,1.19386015,0.38733197,0.4778157,64.12978,Bajo,1399.0
30,30145,Soconusco,4975,2.693467337,0.22110553,0.08064516,0.20100503,64.87189,Muy bajo,2005.0
30,30146,Sochiapa,943,2.332979852,0.42417815,0.21208908,0.95440085,64.49652,Muy bajo,1681.0
30,30147,Soledad Atzompa,5594,2.788702181,1.8055059,0.05370569,0.35752592,64.57854,Muy bajo,1745.0
30,30148,Soledad de Doblado,8842,3.370278218,0.55417326,0.0,0.44107668,64.77584,Muy bajo,1903.0
30,30149,Soteapan,9378,1.01300917,0.52249947,0.17077596,0.20260183,64.89418,Muy bajo,2027.0
30,30150,Tamalín,3730,0.938337802,0.0,0.0,0.18766756,65.22214,Muy bajo,2360.0
30,30151,Tamiahua,7642,2.577859199,0.32713949,0.0,0.1308558,64.99239,Muy bajo,2139.0
30,30152,Tampico Alto,3797,1.712328767,0.31603898,0.0,0.18450185,65.07913,Muy bajo,2216.0
30,30153,Tancoco,1837,0.979858465,0.21774633,0.10887316,0.10899183,65.05818,Muy bajo,2201.0
30,30154,Tantima,3618,0.856826976,0.16583748,0.0,0.05530973,65.23948,Muy bajo,2379.0
30,30155,Tantoyuca,28154,0.703424755,0.08879733,0.02487562,0.30546281,65.16845,Muy bajo,2308.0
30,30156,Tatatila,1473,0.746775289,0.27155465,0.27173913,0.13577733,64.85398,Muy bajo,1986.0
30,30157,Castillo de Teayo,5694,7.393747805,2.45872849,0.12313105,0.7200562,63.74321,Bajo,1165.0
30,30158,Tecolutla,7490,7.320331285,1.70894526,0.49399199,0.98851189,63.31917,Bajo,961.0
30,30159,Tehuipango,5685,1.055408971,0.52770449,0.01761494,0.52770449,64.99985,Muy bajo,2149.0
30,30160,Álamo Temapache,30220,4.629506893,2.02183984,0.51193405,0.4076087,63.71222,Bajo,1145.0
30,30161,Tempoal,10140,4.043392505,0.90729783,0.20753039,0.41420118,64.37151,Bajo,1584.0
30,30162,Tenampa,1677,2.802623733,0.23852117,0.23852117,0.59630292,64.53903,Muy bajo,1714.0
30,30163,Tenochtitlán,1303,7.828089025,2.76285495,0.30864198,1.07444359,63.29821,Bajo,953.0
30,30164,Teocelo,4990,8.557114228,0.52104208,0.10024058,0.86172345,63.93574,Bajo,1273.0
30,30165,Tepatlaxco,2320,4.314063848,0.64655172,0.08650519,0.68965517,64.46844,Muy bajo,1664.0
30,30166,Tepetlán,2785,6.104129264,0.86175943,0.0,0.7540395,64.32098,Bajo,1534.0
30,30167,Tepetzintla,4297,0.651617407,0.0,0.0,0.20944845,65.24913,Muy bajo,2389.0
30,30168,Tequila,4105,0.926151596,0.41412911,0.0,0.09744214,65.17681,Muy bajo,2316.0
30,30169,José Azueta,7251,7.162572454,1.39291132,0.0552868,0.7319431,64.04044,Bajo,1339.0
30,30170,Texcatepec,2848,5.059732959,1.75561798,0.24621878,1.61630358,63.72353,Bajo,1153.0
30,30171,Texhuacán,1406,5.982905983,4.05405405,0.57265569,2.27596017,62.60674,Medio,717.0
30,30172,Texistepec,5807,2.879806863,0.68882383,0.29315399,0.72326502,64.34507,Bajo,1557.0
30,30173,Tezonapa,15179,3.868969154,1.14632057,0.37661051,0.50069175,64.10375,Bajo,1382.0
30,30174,Tierra Blanca,30646,6.143701237,1.15838935,0.24221,0.79292567,63.93555,Bajo,1272.0
30,30175,Tihuatlán,25874,4.023343897,1.18651929,0.19409184,0.10048698,64.43006,Muy bajo,1628.0
30,30176,Tlacojalpan,1413,6.510969568,0.92002831,0.0,0.0,64.47296,Muy bajo,1665.0
30,30177,Tlacolulan,2767,1.338639653,0.39754246,0.0,0.36140224,65.05904,Muy bajo,2203.0
30,30178,Tlacotalpan,4305,3.182346109,0.74332172,0.2792646,0.6504065,64.33925,Bajo,1551.0
30,30179,Tlacotepec de Mejía,1219,4.183757178,0.902379,0.57613169,0.73831009,63.78137,Bajo,1191.0
30,30180,Tlachichilco,3048,7.119422572,3.80577428,0.16425756,1.47637795,63.27779,Bajo,945.0
30,30181,Tlalixcoyan,11830,8.495350803,1.19188504,0.38096851,1.06508876,63.40091,Bajo,997.0
30,30182,Tlalnelhuayocan,5020,1.274900398,0.25896414,0.03990423,0.0,65.13801,Muy bajo,2278.0
30,30183,Tlapacoyan,17950,4.971297999,1.05292479,1.17653619,0.67409471,62.89235,Medio,808.0
30,30184,Tlaquilpa,1897,9.862869198,9.75224038,0.15847861,4.2721519,61.16471,Alto,424.0
30,30185,Tlilapan,1351,1.110288675,0.14803849,0.07401925,0.0,65.1313,Muy bajo,2275.0
30,30186,Tomatlán,2032,6.299212598,3.1496063,1.03857567,1.23031496,62.40363,Medio,669.0
30,30187,Tonayán,1397,3.507516106,0.64423765,0.0,0.50107373,64.72781,Muy bajo,1860.0
30,30188,Totutla,4656,2.405498282,0.85910653,0.43066322,0.88058419,64.14567,Bajo,1413.0
30,30189,Tuxpan,45857,1.659787285,0.22679198,0.30187028,0.08512682,64.73096,Muy bajo,1865.0
30,30190,Tuxtilla,813,2.58302583,0.61500615,0.0,0.36900369,64.87594,Muy bajo,2008.0
30,30191,Ursulo Galván,9730,6.32065776,1.10996917,0.17533003,0.46248715,64.10312,Bajo,1380.0
30,30192,Vega de Alatorre,6553,6.626965949,0.80878987,0.21406728,1.02243247,63.91389,Bajo,1257.0
30,30193,Veracruz,199291,2.166964133,0.46063294,0.06336913,0.28152587,64.89146,Muy bajo,2024.0
30,30194,Villa Aldama,2961,1.080715974,0.06754475,0.0675904,0.06754475,65.13839,Muy bajo,2279.0
30,30195,Xoxocotla,1503,2.594810379,2.26214238,0.0665779,0.3992016,64.49329,Muy bajo,1679.0
30,30196,Yanga,5453,15.58774986,2.75077939,0.36778227,1.77883734,62.13361,Medio,607.0
30,30197,Yecuatla,3292,16.03888214,2.09599028,0.27522936,2.61239368,62.0859,Medio,593.0
30,30198,Zacualpan,2010,8.407960199,2.88557214,0.3006012,1.19402985,63.18761,Bajo,913.0
30,30199,Zaragoza,3154,0.412175016,0.0,0.0635324,0.06341154,65.23357,Muy bajo,2373.0
30,30200,Zentla,3572,7.642777156,4.731243,1.37756536,1.53975364,61.44311,Alto,470.0
30,30201,Zongolica,12073,6.007623467,2.4434689,0.42285051,1.04365112,63.42145,Bajo,1007.0
30,30202,Zontecomatlán de López y Fuentes,3962,3.636363636,0.454316,0.07575758,0.42907622,64.66613,Muy bajo,1808.0
30,30203,Zozocolco de Hidalgo,3601,0.806451613,0.11108026,0.11114198,0.22222222,65.06227,Muy bajo,2204.0
30,30204,Agua Dulce,13627,0.880604682,0.05136861,0.06617161,0.0,65.18482,Muy bajo,2322.0
30,30205,El Higo,5589,4.529991047,1.3955985,0.17917936,0.57255323,64.22432,Bajo,1473.0
30,30206,Nanchital de Lázaro Cárdenas del Río,9014,1.277210129,0.15531396,0.23354093,0.0,64.90091,Muy bajo,2037.0
30,30207,Tres Valles,14844,7.302613851,1.65723525,0.38547373,0.44462409,63.62366,Bajo,1104.0
30,30208,Carlos A. Carrillo,7876,2.81868969,0.24123921,0.06377551,0.1015744,64.90373,Muy bajo,2040.0
30,30209,Tatahuicapan de Juárez,4356,1.60697888,0.29843893,0.0691085,0.20661157,64.99725,Muy bajo,2146.0
30,30210,Uxpanapa,7669,8.180039139,3.31203547,0.47175993,0.95188421,62.98186,Medio,844.0
30,30211,San Rafael,9282,3.803059685,0.64641241,0.0,0.64641241,64.65312,Muy bajo,1797.0
