"Índices de Morosidad del Crédito al Sector Privado No Financiero"
"","a) Total 1/","b) Empresas 1/","c) Vivienda","d) Consumo 1/"
"","Por ciento","Por ciento","Por ciento","Por ciento"
"","Banca Comercial 2/","Banca de Desarrollo","Banca Comercial 2/","Banca de Desarrollo","Banca Comercial 1/","Infonavit 3/","Total","Tarjetas de Crédito","ABCD 4/","Nómina","Personales"
"dic-20","2.97","2.38","1.88","2.19","3.35","10.11","5.40","6.92","3.38","3.09","7.39"
"ene-21","3.13","2.14","2.06","1.93","3.36","10.46","5.72","7.49","3.51","3.27","7.60"
"feb-21","3.11","2.26","2.05","2.06","3.50","10.95","5.53","7.04","3.68","3.18","7.58"
"mar-21","2.99","2.29","2.03","2.09","3.61","11.01","4.90","6.06","3.57","2.86","6.97"
"abr-21","2.95","2.27","2.10","2.08","3.62","11.27","4.50","5.57","3.37","2.60","6.57"
"may-21","2.93","2.23","2.13","2.04","3.64","11.17","4.26","5.04","3.29","2.61","6.37"
"jun-21","2.84","2.32","2.11","2.13","3.60","11.43","3.95","4.53","3.09","2.51","6.00"
"jul-21","2.74","2.27","2.07","2.08","3.50","11.17","3.69","4.06","3.04","2.47","5.75"
"ago-21","2.69","2.36","2.05","2.18","3.47","11.33","3.53","3.84","3.02","2.37","5.42"
"sep-21","2.66","2.58","2.05","2.44","3.42","11.19","3.43","3.66","3.00","2.34","5.22"
"oct-21","2.56","2.54","1.92","2.40","3.34","11.59","3.40","3.60","3.01","2.28","5.26"
"nov-21","2.49","4.04","1.83","4.09","3.33","11.66","3.28","3.30","2.92","2.30","5.28"
"dic-21","2.38","5.73","1.73","5.99","3.15","12.15","3.27","3.28","2.80","2.36","5.20"
"ene-22","3.02","5.73","2.89","6.00","3.23","12.48","3.11","2.51","2.80","2.83","5.17"
"feb-22","2.96","5.83","2.85","6.11","3.16","13.12","3.02","2.65","2.64","2.65","4.76"
"mar-22","2.82","6.27","2.69","6.64","3.05","13.19","2.92","2.67","2.48","2.57","4.39"
"1/ Hasta diciembre de 2021, el índice de morosidad (IMOR) se define como el saldo de la cartera vencida entre el saldo de la cartera total. A partir de enero de 2022, a raíz de la adopción del estándar internacional IFRS9, el IMOR se define como el saldo de la cartera clasificada como etapa 3 entre el saldo de la cartera total. Los datos del IMOR de la banca comercial incluyen a las Sofomes ER subsidiarias de instituciones bancarias y grupos financieros. Para la banca comercial, se realizó la revisión de la información reportada para excluir los datos de Banco Ahorro Famsa y Accendo Banco, entidades cuyas licencias para operar como instituciones de banca múltiple fueron revocadas en junio de 2020 y septiembre de 2021, respectivamente. Mayores detalles respecto a esto último, pueden encontrarse en los Reportes de Estabilidad Financiera correspondientes al segundo semestre de 2020 y al segundo semestre de 2021."
"2/ El incremento en el IMOR en enero de 2022 reflejó, en gran medida, los cambios de los criterios contables para adoptar el estándar internacional IFRS9, que permiten a las instituciones de crédito realizar ajustes en la clasificación de su cartera crediticia, sin que esto implique un mayor nivel de impago."
"3/ El índice de morosidad (IMOR) se define como el saldo de la cartera vencida entre el saldo de la cartera total."
"4/ Incluye crédito para la adquisición de bienes muebles y crédito automotriz."
"Fuente: Banco de México."
""
