adm2_code,area_km2,lat_centro,lon_centro,municipio
20082,381.63406846974954,20.73382295413711,-102.95606101733144,Acatic
20083,165.40880822739035,20.38860329168417,-103.62244999542608,Acatlan De Juarez
20084,327.25111592061324,20.683934387276413,-103.92572859791022,Ahualulco De Mercado
20085,129.9756733694721,19.963421983289457,-103.63989439991201,Amacueca
20086,145.39644488318393,20.803533946974188,-103.71203243307697,Amatitan
20087,824.3428683549809,20.50447383948192,-104.08928006684688,Ameca
20088,225.44491675910288,20.767702137219157,-104.00209368186646,Antonio Escobedo
20089,1148.561696251777,20.722488928085195,-102.35813326204845,Arandas
20090,488.3570407955667,20.14695843446895,-103.74141869946183,Atemajac De Brisuela
20091,395.2577819837979,20.299956765281323,-104.29873071336912,Atengo
20092,509.75003303964746,20.324830745585153,-104.58311963740566,Atenguillo
20093,505.40032678021834,20.512310915325855,-102.53618019523498,Atotonilco El Alto
20094,384.4218793347276,19.95138649441974,-103.4619555109407,Atoyac
20095,703.6517600161017,19.730204746734607,-104.32657619076282,Autlan De Navarro
20096,341.3277044159666,20.45273934377552,-102.3362894335529,Ayotlan
20097,922.0485296912274,20.04190959341399,-104.47160427353747,Ayutla
20098,991.704906426988,21.831849615703458,-103.9403728668279,Bolanos
20099,1481.035004236081,20.356248559003905,-105.40407304671884,Cabo Corrientes
20100,225.07536981022682,21.11790893030143,-102.73181983372369,Canadas De Obregon
20101,621.8070703958325,19.579702860337733,-104.46432244986141,Casimiro Castillo
20102,614.7446828598435,20.226606547683705,-103.2126249063515,Chapala
20103,571.9574256755454,21.674824606224767,-103.66688171761805,Chimaltitan
20104,297.16277257143213,20.02750682757876,-103.91435160286389,Chiquilistlan
20105,423.49759163674867,19.284951227894037,-104.6388267332123,Cihuatlan
20106,218.67921321463393,19.670863965936952,-103.5206933047044,Ciudad Guzman
20107,561.6365918514633,19.701961778814997,-103.73602546045778,Ciudad Venustiano C.
20108,285.775892630616,20.361313082069202,-103.830802988489,Cocula
20109,456.33945909525664,22.026059436911083,-103.29784743720485,Colotlan
20110,226.61491102360574,19.93119859796833,-103.26375232761237,Concepcion De Buenos A.
20111,1312.4900180699287,19.425994500726656,-104.31610002217325,Cuatitlan
20112,527.0695592407246,20.19334478024286,-104.53863517271814,Cuautla
20113,749.1655333141047,20.891379043473588,-103.07724020727437,Cuquio
20114,301.60211087961346,20.42530357451346,-102.1634333621409,Degollado
20115,272.10333072306963,19.880633110954896,-104.10682059990245,Ejutla
20116,103.0744668391551,20.71836003011721,-103.68163632223023,El Arenal
20117,182.63041180401632,19.788680425444916,-104.21437605369076,El Grullo
20118,157.06898058846556,19.81600415750965,-104.1149812384717,El Limon
20119,84.77007677718713,20.49087576647611,-103.26910960441305,El Salto
20120,1227.294374202452,21.52556330414506,-102.24745481799744,Encarnacion De Diaz
20121,321.9055485085437,20.691406565643295,-104.14257312393558,Etzatlan
20122,257.30331909047345,19.81709453407062,-103.41648110339182,Gomez Farias
20123,812.4424500121398,20.65259175255326,-104.43067342268783,Guachinango
20124,219.51706291732185,20.63073703805478,-103.36633189546292,Guadalajara
20125,818.2594217827915,21.005643014588635,-104.08636995121365,Hostotipaquillo
20126,363.20395638912277,22.232931866138813,-103.24887958722363,Huejucar
20127,575.4949564812339,22.509203171345746,-103.9361615769302,Huejuquilla El Alto
20129,225.03226750515088,20.363987336256535,-103.23681325328302,Ixtlahuacan De Los Membri
20130,624.9735351890795,20.86485641280223,-103.26534755111511,Ixtlahuacan Del Rio
20131,520.1985961213651,21.14228281998978,-102.54010836758044,Jalostotitlan
20132,163.79739648160248,20.259073796464214,-102.67869272901558,Jamay
20133,679.1435973463499,20.594310824707524,-102.1383595597236,Jesus Maria
20134,1148.886886809374,19.31012291010671,-102.89735996987577,Jilotlan De Los Dolores
20135,296.51332948382753,20.26889134409319,-103.44239960457395,Jocotepec
20136,110.45576569700492,20.450819435513434,-103.16017684324228,Juanacatlan
20137,222.85412545280926,20.01304864345095,-104.06637677023053,Juchitlan
20138,345.9776845383837,20.346308971968774,-102.50318009428368,La Barca
20139,1880.519568346714,19.519218355092384,-104.88740296232415,La Huerta
20140,155.48430060584465,19.980839104803767,-103.14304369917282,La Manzanilla De La Paz
20141,2499.9903626406444,21.463900006551494,-101.92290809291435,Lagos De Moreno
20142,316.712517500245,20.862721581628854,-104.05886968606161,Magdalena
20143,858.0177124851339,19.505558001901818,-102.87846432564673,Manuel M. Dieguez
20144,1577.1322833318231,20.581877995519594,-104.80497726184633,Mascota
20145,353.45148035233865,19.864937500046207,-103.07181719451009,Mazamitla
20146,145.2022483326074,21.20649879229282,-102.78573641905966,Mexticacan
20147,3089.892804383254,22.182927167550343,-103.96738137242616,Mezquitic
20148,656.6320774914918,20.484825976797847,-104.4765366916141,Mixtlan
20149,382.23543188465595,20.353787676801776,-102.73013906771803,Ocotlan
20150,1364.712454077653,21.803480110294494,-101.76770202189081,Ojuelos De Jalisco
20151,710.890382631092,19.117817667071662,-103.38500363136487,Pihuamo
20152,625.1054490092673,20.276978363151475,-102.95602758096605,Poncitlan
20153,719.5972627862519,20.700839486964917,-105.15271671185047,Puerto Vallarta
20154,442.1499844387222,19.76431649680878,-102.86656297741837,Quitupan
20155,482.84203899713566,20.97459113682647,-103.49495366227386,San Cristobal De La B.
20156,342.37495438293035,20.94199054368305,-102.05702552573459,San Diego De Alejandria
20157,905.8723923971758,21.250281799177042,-102.34550783592226,San Juan De Los Lagos
20158,222.5294003782179,20.95675417706637,-102.1851361343223,San Julian
20159,318.7416603741497,20.766666369871015,-104.23350106073343,San Marcos
20160,689.1402842197945,21.535249546272567,-103.7798755511974,San Martin De Bolanos
20161,396.60426641173905,20.41538835800233,-103.92322838927629,San Martin Hidalgo
20162,829.6087522508085,20.96161042870217,-102.38162769990852,San Miguel El Alto
20163,1075.4769695392536,20.841644260952616,-104.82860711821583,San Sebastian Del Oeste
20164,324.1847393236809,19.846606948362318,-103.59013156606144,Sayula
20165,247.78736212275015,22.109280995189685,-103.20732402516545,Sta. Maria De Los Angeles
20166,440.6116073086018,20.561000092442313,-103.70553680155597,Tala
20167,1863.227392096943,20.32738602383267,-104.97282115129445,Talpa De Allende
20168,1456.3867191000943,19.646673761111234,-103.18490596970443,Tamazula De Gordiano
20169,601.9573479632401,19.908468548411413,-103.78341877562752,Tapalpa
20170,1215.9409078977822,19.230644863689843,-103.21417962365894,Tecalitlan
20171,119.81926791757968,20.06752421821302,-103.58905169070283,Techaluta De Montenegro
20172,860.2324189066547,20.214865842926677,-104.02946812472962,Tecolotlan
20173,313.2000845541594,20.129103439108803,-104.1925473627745,Tenamaxtlan
20174,900.7766566545157,21.437210145183247,-102.5962352825252,Teocaltiche
20175,365.03548124419854,20.065807042593093,-103.37107560024384,Teocuitatlan De Corona
20176,1561.0765414625566,20.771403708825527,-102.74101468904514,Tepatitlan De Morelos
20177,1678.0305422615604,21.076489885876146,-103.78890284172078,Tequila
20178,162.16255010776163,20.645313846651426,-103.82834647177668,Teuchitlan
20179,160.73329679739768,20.090912276995354,-103.10253563464747,Tizapan El Alto
20180,606.57459947524,20.431531285911696,-103.44267587525805,Tlajomulco De Zuniga
20181,87.68019566428327,20.5348402750379,-103.40593086342666,Tlaquepaque
20182,551.701151921841,19.512714654646704,-103.92420919050657,Toliman
20183,3024.545947650085,19.999154784290877,-105.1840932755779,Tomatlan
20184,181.0154219946012,20.568114963207996,-103.24428814663318,Tonala
20185,256.4595450433749,19.8133807455288,-103.95959081897733,Tonaya
20186,150.99908955251038,19.419078608548798,-103.52435540657082,Tonila
20187,538.3014991460304,21.8953552415224,-103.46229964093399,Totatiche
20188,358.17457071571516,20.51436923417969,-102.78126841831295,Tototlan
20189,531.1846807563139,19.650143104904533,-104.01997132477945,Tuxcacuesco
20190,174.19800728568075,20.10664339706743,-103.25732125618242,Tuxcueca
20191,560.0446774608479,19.43288737015139,-103.46316975733794,Tuxpan
20192,779.6457640006483,21.13340299068428,-102.04782034064888,Union De San Antonio
20193,394.83095925031273,19.967785565380076,-104.28310611850777,Union De Tula
20194,305.4484592842627,21.0090792219044,-102.68981951093151,Valle De Guadalupe
20195,200.51175275890932,19.78825406336937,-102.95478858254118,Valle De Juarez
20196,251.81331164048353,20.34806986933717,-103.71374298797458,Villa Corona
20197,737.7054266405255,21.96094077971578,-103.66498076007227,Villa Guerrero
20198,454.7349514083395,21.644986025201636,-102.61856082701607,Villa Hidalgo
20199,1988.8763288365888,19.8005762315362,-104.7444965008805,Villa Purificacion
20200,526.8684014809535,21.07960695671505,-102.94281673176664,Yahualica De Gonzalez G.
20201,339.3245521763198,20.201334147328215,-103.57017678153726,Zacoalco De Torres
20202,1047.5775678300881,20.73859428630157,-103.51547294683576,Zapopan
20203,289.70109483497856,19.603169907620025,-103.37723560440432,Zapotiltic
20204,307.59936123485284,19.521361011724345,-103.74941450566448,Zapotitlan De Vadillo
20205,362.60986669191476,20.429415632949233,-102.94810958535187,Zapotlan Del Rey
20206,619.1205169007123,20.588035197592795,-103.09286618471282,Zapotlanejo
